iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,policy_loss,value_loss,action_entropy
56,ppo_lognormal,ppo,lognormal,8,-102.54447653073728,8.797334202076426,102.54447653073728,7.483229160308838,8.346639633178711,1.5023034811019897,1.9176133871078491,1.7763568394002505e-15,-100.82081790773333,100.82081790773333,1.1102230246251565e-15,-0.6954399347305298,7.927517414093018,0.0,0.0014909309850606536,26.582455555597942,2.4146530351468494
57,ppo_lognormal,ppo,lognormal,8,-106.77634428306128,12.094894288776036,106.77634428306128,7.370396614074707,10.814699172973633,1.5038870573043823,1.9179917573928833,1.7763568394002505e-15,-104.64090137184598,104.64090137184598,8.881784197001252e-16,-1.0914307832717896,8.673587799072266,0.0,0.0014186403132043779,29.329882899920147,2.414635176459948
58,ppo_lognormal,ppo,lognormal,8,-102.52218354955963,8.70729632252457,102.52218354955963,7.304043292999268,8.5560941696167,1.505332589149475,1.9182411432266235,1.3322676295501878e-15,-103.64616846687343,103.64616846687343,8.881784197001252e-16,-1.385079026222229,8.361763000488281,0.0,3.2568289454848996e-05,25.958537408283778,2.4127279278777896
59,ppo_lognormal,ppo,lognormal,8,-104.41328650828677,7.251077400892425,104.41328650828677,6.67808723449707,8.824851989746094,1.506683588027954,1.9186146259307861,2.220446049250313e-15,-103.88230891342616,103.88230891342616,1.1102230246251565e-15,-0.27819326519966125,7.759199142456055,0.0,0.001067344243416474,27.11967198621659,2.4111609018984295
60,ppo_lognormal,ppo,lognormal,8,-100.39141261746609,8.568650193085078,100.39141261746609,8.347112655639648,7.247361183166504,1.507887601852417,1.9189469814300537,1.3322676295501878e-15,-102.80891054882483,102.80891054882483,1.1102230246251565e-15,-0.704132080078125,7.944252014160156,0.0,-0.0003241860152532657,24.26847615696135,2.4069977012418566
61,ppo_lognormal,ppo,lognormal,8,-103.39182019400123,10.14689053999237,103.39182019400123,7.605902671813965,9.669073104858398,1.5090882778167725,1.9193755388259888,1.3322676295501878e-15,-102.61409937187298,102.61409937187298,1.1102230246251565e-15,-0.7077186703681946,8.202640533447266,0.0,-0.0004174313896025221,26.066774777003697,2.403593978711537
62,ppo_lognormal,ppo,lognormal,8,-105.01467230204975,12.147932504465867,105.01467230204975,7.037835121154785,10.681144714355469,1.5104575157165527,1.919748306274414,2.220446049250313e-15,-102.3305569984208,102.3305569984208,8.881784197001252e-16,-0.8398087024688721,8.61151123046875,0.0,-0.0028498233850335793,27.335844868705387,2.400682337936901
63,ppo_lognormal,ppo,lognormal,8,-100.89530715747816,6.982510510131287,100.89530715747816,8.261838912963867,7.075058460235596,1.511824369430542,1.9196642637252808,1.3322676295501878e-15,-100.87015643338047,100.87015643338047,8.881784197001252e-16,-0.5643459558486938,7.919215202331543,0.0,-0.0014962146552057849,24.065878521828424,2.391934886574745
64,ppo_lognormal,ppo,lognormal,8,-105.00549185135927,8.889280866976328,105.00549185135927,7.938060760498047,9.468194961547852,1.513584852218628,1.9193909168243408,1.1102230246251565e-15,-103.84762850257724,103.84762850257724,1.1102230246251565e-15,-0.6512144207954407,8.43935775756836,0.0,9.510455752855964e-05,26.645948983374097,2.3863531216269447
65,ppo_lognormal,ppo,lognormal,8,-103.8213846138369,9.91870517009523,103.8213846138369,7.5249433517456055,8.656270027160645,1.5156606435775757,1.9190559387207031,1.7763568394002505e-15,-104.77962429582271,104.77962429582271,8.881784197001252e-16,-1.1678364276885986,8.331663131713867,0.0,1.137247419960442e-05,25.855104667799814,2.385910146293186
66,ppo_lognormal,ppo,lognormal,8,-100.96532480123568,8.129299896752835,100.96532480123568,7.727755546569824,7.51817512512207,1.5176793336868286,1.9190136194229126,1.1102230246251565e-15,-101.96925219286341,101.96925219286341,1.1102230246251565e-15,-0.4579322934150696,7.732303619384766,0.0,-0.0005220944987654331,24.015785177548725,2.3857358481202806
