iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,actor_loss,critic_loss
63,ddpg_lognormal,ddpg,lognormal,3,-106.74630369736047,14.706351100113206,106.74630369736047,3.7956466674804688,1.9266403913497925,0.42918017506599426,0.4094950258731842,3.552713678800501e-15,-111.31141231620956,111.31141231620956,1.3322676295501878e-15,-410.0232849121094,3.7237117290496826,0.00752,10.880071822867086,10.720989003965986
64,ddpg_lognormal,ddpg,lognormal,3,-110.90485168745357,18.181451456803245,110.90485168745357,2.245821475982666,2.1725754737854004,0.4287174940109253,0.40985825657844543,1.3322676295501878e-15,-107.60117638240942,107.60117638240942,2.220446049250313e-15,-380.59686279296875,3.357450485229492,0.0074800000000000005,-4.9074608023940876,5.538276711478829
65,ddpg_lognormal,ddpg,lognormal,3,-106.08755101413846,7.49482645104075,106.08755101413846,2.7389650344848633,2.152991533279419,0.42824047803878784,0.41036456823349,1.1102230246251565e-15,-112.45704036901874,112.45704036901874,8.881784197001252e-16,-391.2854309082031,3.6808371543884277,0.00744,-2.6696611668878525,1.8493776353563938
66,ddpg_lognormal,ddpg,lognormal,3,-104.79503271692303,7.974652946044728,104.79503271692303,2.6248459815979004,2.3932175636291504,0.4277868866920471,0.4106820821762085,1.3322676295501878e-15,-104.64521961916279,104.64521961916279,8.881784197001252e-16,-396.7520446777344,3.806459426879883,0.0074,6.533147689453991,0.988469355445843
67,ddpg_lognormal,ddpg,lognormal,3,-106.50083476022445,15.55041899666874,106.50083476022445,3.686513900756836,1.6308799982070923,0.4275323152542114,0.41101694107055664,4.884981308350689e-15,-106.60396139409013,106.60396139409013,1.7763568394002505e-15,-401.9429626464844,3.68353533744812,0.00736,14.53856494366413,1.6284615218007406
68,ddpg_lognormal,ddpg,lognormal,3,-109.54567427727548,18.362794689282655,109.54567427727548,4.628697395324707,1.9843571186065674,0.4273759126663208,0.4112928807735443,4.440892098500626e-15,-103.52471457587177,103.52471457587177,8.881784197001252e-16,-453.56915283203125,3.9156641960144043,0.00732,20.349411281091825,2.6381283457546187
69,ddpg_lognormal,ddpg,lognormal,3,-104.70258754615573,9.633039182631672,104.70258754615573,3.3697798252105713,1.9395813941955566,0.4272403120994568,0.41138917207717896,8.881784197001252e-16,-101.71611591135701,101.71611591135701,8.881784197001252e-16,-381.35595703125,3.7025036811828613,0.00728,24.0145880629619,3.600240684591145
70,ddpg_lognormal,ddpg,lognormal,3,-104.37101048101019,8.55689128221165,104.37101048101019,2.1034836769104004,1.7614684104919434,0.4271329939365387,0.4116007089614868,8.881784197001252e-16,-104.92915797636596,104.92915797636596,8.881784197001252e-16,-344.74102783203125,3.324413299560547,0.00724,26.362391827361925,4.203404901094647
71,ddpg_lognormal,ddpg,lognormal,3,-103.19622041909443,9.122747330075287,103.19622041909443,2.4243597984313965,1.8469159603118896,0.4272426962852478,0.4116552174091339,2.6645352591003757e-15,-101.14498736652855,101.14498736652855,1.5543122344752192e-15,-348.40777587890625,3.35295033454895,0.0072,27.65999075060799,4.749487882945687
72,ddpg_lognormal,ddpg,lognormal,3,-100.70992865066762,10.83147411339033,100.70992865066762,2.289072275161743,2.640080451965332,0.4272211492061615,0.4118119180202484,8.881784197001252e-16,-102.21356434912667,102.21356434912667,8.881784197001252e-16,-363.5048522949219,3.498629570007324,0.00716,28.34113883333547,4.851960972744218
